,name,reviewer,price,restauran_type,star
278,4. Food Terminal - Atlanta,173,$$,,4.5 star rating
279,5. Forza Storico,222,,,4 star rating
280,6. Choong Man Chicken - Georgia Tech,51,,,4 star rating
281,7. Pijiu Belly,442,,,4 star rating
282,8. Velvet Taco,52,,,4.5 star rating
283,9. JCT Kitchen & Bar,1795,,,4 star rating
284,10. Le Fat,402,$$,,4 star rating
285,Firehouse Subs,63,,,3.5 star rating
286,Moe’s Southwest Grill,,,,
287,QDOBA Mexican Eats,5,,,3 star rating
288,1. There on Fifth,39,,,5 star rating
289,2. Rock Steady - Atlanta,197,$$,,4 star rating
290,3. The Optimist,1764,,,4.5 star rating
291,4. Food Terminal - Atlanta,173,$$,,4.5 star rating
292,5. Forza Storico,222,,,4 star rating
293,6. Choong Man Chicken - Georgia Tech,51,,,4 star rating
294,7. Pijiu Belly,442,,,4 star rating
295,8. Velvet Taco,52,,,4.5 star rating
296,9. JCT Kitchen & Bar,1795,,,4 star rating
297,10. Le Fat,402,$$,,4 star rating
298,Firehouse Subs,63,,,3.5 star rating
299,Moe’s Southwest Grill,,,,
300,QDOBA Mexican Eats,5,,,3 star rating
301,1. There on Fifth,39,,,5 star rating
302,2. Rock Steady - Atlanta,197,$$,,4 star rating
303,3. The Optimist,1764,,,4.5 star rating
304,4. Food Terminal - Atlanta,173,$$,,4.5 star rating
305,5. Forza Storico,222,,,4 star rating
306,6. Choong Man Chicken - Georgia Tech,51,,,4 star rating
307,7. Pijiu Belly,442,,,4 star rating
308,8. Velvet Taco,52,,,4.5 star rating
309,9. JCT Kitchen & Bar,1795,,,4 star rating
310,10. Le Fat,402,$$,,4 star rating
311,Firehouse Subs,63,,,3.5 star rating
312,Moe’s Southwest Grill,,,,
313,QDOBA Mexican Eats,5,,,3 star rating
314,1. There on Fifth,39,,,5 star rating
315,2. Rock Steady - Atlanta,197,$$,,4 star rating
316,3. The Optimist,1764,,,4.5 star rating
317,4. Food Terminal - Atlanta,173,$$,,4.5 star rating
318,5. Forza Storico,222,,,4 star rating
319,6. Choong Man Chicken - Georgia Tech,51,,,4 star rating
320,7. Pijiu Belly,442,,,4 star rating
321,8. Velvet Taco,52,,,4.5 star rating
322,9. JCT Kitchen & Bar,1795,,,4 star rating
323,10. Le Fat,402,$$,,4 star rating
324,Firehouse Subs,63,,,3.5 star rating
325,Moe’s Southwest Grill,,,,
326,QDOBA Mexican Eats,5,,,3 star rating
327,1. There on Fifth,39,,,5 star rating
328,2. Rock Steady - Atlanta,197,$$,,4 star rating
329,3. The Optimist,1764,,,4.5 star rating
330,4. Food Terminal - Atlanta,173,$$,,4.5 star rating
331,5. Forza Storico,222,,,4 star rating
332,6. Choong Man Chicken - Georgia Tech,51,,,4 star rating
333,7. Pijiu Belly,442,,,4 star rating
334,8. Velvet Taco,52,,,4.5 star rating
335,9. JCT Kitchen & Bar,1795,,,4 star rating
336,10. Le Fat,402,$$,,4 star rating
337,Firehouse Subs,63,,,3.5 star rating
338,Moe’s Southwest Grill,,,,
339,QDOBA Mexican Eats,5,,,3 star rating
340,1. There on Fifth,39,,,5 star rating
341,2. Rock Steady - Atlanta,197,$$,,4 star rating
342,3. The Optimist,1764,,,4.5 star rating
343,4. Food Terminal - Atlanta,173,$$,,4.5 star rating
344,5. Forza Storico,222,,,4 star rating
345,6. Choong Man Chicken - Georgia Tech,51,,,4 star rating
346,7. Pijiu Belly,442,,,4 star rating
347,8. Velvet Taco,52,,,4.5 star rating
348,9. JCT Kitchen & Bar,1795,,,4 star rating
349,10. Le Fat,402,$$,,4 star rating
350,Firehouse Subs,63,,,3.5 star rating
351,Moe’s Southwest Grill,,,,
352,QDOBA Mexican Eats,5,,,3 star rating
353,1. There on Fifth,39,,,5 star rating
354,2. Rock Steady - Atlanta,197,$$,,4 star rating
355,3. The Optimist,1764,,,4.5 star rating
356,4. Food Terminal - Atlanta,173,$$,,4.5 star rating
357,5. Forza Storico,222,,,4 star rating
358,6. Choong Man Chicken - Georgia Tech,51,,,4 star rating
359,7. Pijiu Belly,442,,,4 star rating
360,8. Velvet Taco,52,,,4.5 star rating
361,9. JCT Kitchen & Bar,1795,,,4 star rating
362,10. Le Fat,402,$$,,4 star rating
363,Firehouse Subs,63,,,3.5 star rating
364,Moe’s Southwest Grill,,,,
365,QDOBA Mexican Eats,5,,,3 star rating
366,1. There on Fifth,39,,,5 star rating
367,2. Rock Steady - Atlanta,197,$$,,4 star rating
368,3. The Optimist,1764,,,4.5 star rating
369,4. Food Terminal - Atlanta,173,$$,,4.5 star rating
370,5. Forza Storico,222,,,4 star rating
371,6. Choong Man Chicken - Georgia Tech,51,,,4 star rating
372,7. Pijiu Belly,442,,,4 star rating
373,8. Velvet Taco,52,,,4.5 star rating
374,9. JCT Kitchen & Bar,1795,,,4 star rating
375,10. Le Fat,402,$$,,4 star rating
376,Firehouse Subs,63,,,3.5 star rating
